"individuo","escore","theta_verdadeiro","theta_EAP","theta_EP","tau_verdadeiro","tau_EAP","tau_EP"
1,13,-0.217084470578609,0.189900101662713,0.660418626013795,0.61574160863837,-0.538964483321717,0.804608774747454
2,15,0.306118486884073,0.819444366507729,0.634711529354003,0.34603907454994,0.394046570435593,0.850910032526221
3,12,-0.183704176667418,-0.314921408938954,0.666529882964624,0.448485234408336,0.0756591922391566,0.815298526656509
4,15,1.45898149706319,0.738416520255561,0.655817425138991,-1.10082281589258,-0.169597976989593,0.831763713970301
5,16,1.00210605650097,1.08903751998775,0.642278117748573,0.113101520144865,0.343659665743519,0.856543708841629
6,12,1.05713253141362,-0.0299851083739544,0.626544306166956,0.606999057702129,0.570181064192107,0.84138320625257
7,13,-0.0746103346475854,0.329751007091409,0.606610222339985,0.311056980714969,-0.126923888408611,0.816977733625027
8,7,-2.22983987263975,-1.08860292426454,0.636762233178574,-0.343275980993646,-0.900779790248146,0.789238139515154
9,16,1.11689767224087,1.05295372855383,0.631890594532604,1.87295092149441,0.349916265935835,0.855423194267035
10,10,-1.14624715449742,-0.569904500501734,0.613537720474388,1.94347255103547,0.685538052177992,0.844327369407238
11,14,1.86318075961002,0.553116574352376,0.623052829835776,-0.538134486416079,-0.174735392899137,0.812415618458421
12,10,-0.752871704141695,-0.535831679967913,0.636941669177531,-0.82218889316409,-0.324193802512921,0.807193439767528
13,16,1.22283369349404,0.987733559698727,0.649893225839664,1.40970479198655,0.362494367537301,0.854706769626
14,13,0.366188129903028,0.416618638284034,0.609133805203054,0.345639338347721,0.474824427267956,0.843663723411511
15,13,0.247082357368797,0.227056516745842,0.618309820931312,-0.121786845603502,0.514984664474963,0.842183206571373
16,14,0.32381155621276,0.539259714801013,0.635002415642935,2.14882239310657,0.449920226903376,0.84640405726669
17,12,0.495943859853207,-0.284705454159536,0.651030764575028,-0.682515227576201,0.0673095417756121,0.81375877479912
18,13,0.411757646393234,0.0609418890328294,0.64623485932641,0.930234785469672,0.550721870113717,0.842621343311517
19,7,-2.8744922991227,-1.09731023879895,0.640107396282441,-0.474677373358666,-0.543751676358979,0.797278139538981
20,11,-0.43177100728902,-0.188706374629875,0.648269354695103,-1.18618664956737,-0.460661283634476,0.815026730923991
21,12,-0.405620164694299,-0.122845334616134,0.639078263270097,2.17066816053503,0.590195471103741,0.842031248064808
22,15,0.0700802319523911,0.526746351695243,0.64337019427791,1.34379052177939,0.452701605195752,0.846558883798682
23,15,1.7953855870385,0.914079922002135,0.627025208618562,-0.90116776633292,0.375677758177699,0.85242145095285
24,11,-0.319163499008169,-0.242866189636166,0.618929551824036,1.10420061046849,-0.413631343405502,0.800800362640001
25,10,-0.660322177963159,-0.959315562211427,0.669650378522023,0.204462162253032,0.22510298089771,0.852165433000066
26,9,-1.14355505612123,-0.569383471760236,0.618068886346269,0.751014761605038,-0.313553384405528,0.806264853838687
27,11,0.802287876410453,-0.352407962273694,0.630666066080274,-0.424573431476889,-0.379866899645766,0.803430909649365
28,9,0.0136053262531951,-0.594768619588639,0.64329242203817,-0.393765448550157,-1.07846092576713,0.78057401494944
29,16,1.25332919549435,1.02478524525179,0.669911864574498,1.13765789045155,0.356239304066612,0.856181079106229
30,17,1.46103886283888,1.26860746153131,0.66334387540815,-0.144590807529827,-0.368898434688259,0.826224404649406
31,15,0.682674022437607,0.795768502435338,0.633562525005505,-0.117332102190579,0.39863535606596,0.850420638829575
32,11,0.510322836325565,-0.134045121445599,0.623447488114292,-1.59190097773433,-0.472035985387911,0.78883907952151
33,11,0.598006263186931,-0.199479145438297,0.614625479415438,-0.156360516375525,0.0776880740992826,0.835421601304868
34,15,1.25371641454074,0.715666214856031,0.644069154978803,1.21813155740248,-0.164184387513672,0.83085829055548
35,15,-0.293945323892624,0.704025115675995,0.645170054519682,0.285686459405061,-0.763218486527164,0.790746113466008
36,7,-0.0829297620405439,-1.00197616262839,0.631096734501514,-1.11375788515066,-0.930793034372463,0.786813256786477
37,19,1.65914087235777,2.06419528625718,0.687901599185414,0.324833646150258,0.194862588353031,0.880912838030172
38,11,0.891148989655277,-0.401812347979365,0.62708090018083,0.218322991414898,0.0701407254330037,0.821841187543158
39,17,1.55370848627636,1.06182303049044,0.685076697091844,-0.48786519218135,-0.318537136514209,0.82955105028208
40,12,-0.924399990699968,0.0047351383103971,0.649512883639935,1.49295558605013,-0.526733268940967,0.808222319941212
41,17,1.06940160312595,1.29534513619126,0.679857331147782,-0.986766771145728,0.308680157520428,0.862239623921775
42,7,-1.47930144470357,-1.37114614887381,0.628637765019312,0.226445178897241,0.299169708420595,0.876748265784247
43,10,-0.0741592953013455,-0.366713547651155,0.587658559173175,1.1788057812073,0.643068635673251,0.840469687923308
44,11,-1.67723896691049,-0.58553930753767,0.697607608918239,1.2038933568731,0.686300989928118,0.849348689086099
45,11,-0.530602009861465,-0.333901828808242,0.624910321781518,-0.137673184868993,0.635525679913675,0.842196423082861
46,15,1.40827606841647,0.596643820734706,0.647935341480086,-1.39825938975222,-0.186748519894758,0.814731704303137
47,17,1.9625554830651,1.38321172877757,0.65990760577703,0.975304723070483,0.293220252048717,0.863698782645881
48,10,-1.26665540732142,-0.503264148028792,0.615997330822685,-1.08968092288443,-0.333340788141397,0.804815464190033
49,8,-2.48507431438427,-1.07220035730892,0.650070029413936,0.35440853656605,-0.172311563823855,0.821724984014347
50,14,0.291332854775356,0.372327924415549,0.660541981817015,0.904358665996123,-0.0800405159636601,0.830215916213379
51,14,1.12206950696769,0.546552450254045,0.616020537674458,0.341460209086988,-0.18544881194941,0.818880205528171
52,17,1.27532121478944,1.21822917208116,0.66726912343745,0.926344772698223,0.321532607294925,0.860115000870482
53,10,-1.21843386560661,-0.321261142363745,0.632501109903427,0.757874327355774,-1.18131349544884,0.775205065842972
54,13,1.44334573154878,0.308622594681432,0.655999845190812,-1.58060168033622,-0.0419699801207669,0.833568550625141
55,11,-0.816626770863944,-0.403481523726637,0.642917345546883,-0.00920769629758206,0.649994402760973,0.843798522012356
56,7,-1.26649784277676,-1.73664914135744,0.66602794206921,-0.738686576343466,-0.372416407751209,0.824905834769555
57,10,-1.21546249482636,-0.604521375197755,0.681858562822188,-0.861724873134846,-0.716718009091795,0.796147380259393
58,8,-1.5088996883361,-1.41472518700749,0.687994327350251,-0.832846064654025,-0.182054415432396,0.865636050916663
59,9,-1.03042609873872,-0.782681796066567,0.612357702329183,1.23565454384994,0.207092166657783,0.818606259950085
60,12,-1.20534707447468,-0.0238319127801823,0.630697462656096,-1.17390855590306,-0.923373292189426,0.778100569173169
