"individuo","escore","F1_verdadeiro","F1_EAP","F1_EP","F2_verdadeiro","F2_EAP","F2_EP"
1,22,0.55297838618846,0.830776884507525,0.542087676893384,0.304287562160651,0.0757749891870428,0.584087292576012
2,21,1.0914232217856,0.703032677965761,0.533824794985544,1.07465808119894,0.0166421897764918,0.592005232355228
3,9,-0.772139333392305,-1.36045352117294,0.663343743959762,-1.28364254779614,-0.93390442113986,0.748296461532544
4,20,0.722880363650625,0.385121729236653,0.603981971394218,0.382982234513867,0.0683937076631567,0.660610107335732
5,29,0.731542820201932,1.57498055581409,0.647036700396396,2.15534435564161,1.3074093343131,0.664032523694386
6,23,1.15887587420302,0.302398783147612,0.562506144054451,0.443217383314604,0.475698336947754,0.678751686451461
7,15,0.528902043539622,0.0188387225306548,0.574979714138969,-0.159197880940702,-0.623893459474071,0.620617835818775
8,15,0.716181875052086,-0.0477331854884247,0.564433873772861,-1.08737354583787,-0.50862659372411,0.6322737672317
9,19,-0.376516033045958,-0.630135486462421,0.628396668888013,-0.0807071928276495,0.00151406382025462,0.772282349808051
10,9,-1.9158316388482,-0.943194407509226,0.640604488938577,-1.34662237614817,-1.04535489935474,0.727337672574951
11,17,-0.50934268804083,0.297792961531886,0.565649536841539,-0.0709265429237723,-0.505933256925395,0.619441005524066
12,21,0.00789726496170563,0.163265206390101,0.561313688748213,0.931784360246447,0.488120921081542,0.647180435569949
13,17,0.205492056696526,0.0117922400254249,0.596566072488446,-0.962101690334237,-0.247687675845863,0.684903872026558
14,16,0.33045631225679,-0.158823151574407,0.574276185558265,-0.139905019602611,-0.244020792557828,0.62157383345806
15,7,-1.46949578481365,-1.42906169653046,0.656888532765913,-1.76701882877508,-0.909817271411503,0.735031638609409
16,27,1.32310241640069,1.58328304750596,0.595404239238147,0.895800820119916,0.78494837233158,0.583729473971869
17,28,1.28573867475638,1.20761072678975,0.616147801670201,1.61859504519335,1.41448198913591,0.660166005169517
18,27,1.10874372783808,0.720683748831717,0.571998455789716,1.7456842652696,1.48342572203379,0.64688713470286
19,14,-0.295352326779692,-0.666036842688124,0.62692409165717,-0.473214090705285,-0.26721203173843,0.70229697715091
20,13,0.407996634144427,-0.573419898083509,0.632447324476756,-1.1152642425204,-0.705231853327334,0.654558189396811
21,19,0.539834236598172,0.459247713749602,0.547005636355971,-0.143987994369475,-0.2093029455774,0.591541329393624
22,23,-0.211786408628976,0.0560468691086218,0.544082577455921,0.565703813106959,1.13467651567138,0.620433508277775
23,24,1.1510918918732,1.00719762343969,0.53873498509771,1.27176010992622,0.431005651110373,0.589126365893418
24,26,1.19770222429254,1.35060726365196,0.574827794049056,1.33918989335598,0.69257152242474,0.593165260477062
