"item","outfit","z.outfit","infit","z.infit"
"Item_1",1.08086487626796,0.72176207355896,1.01007645806277,0.15358799760837
"Item_2",0.897956693252685,-0.864709273814746,0.971397784066351,-0.360328570195672
"Item_3",0.930823390526938,-0.835165996358142,0.985300421601566,-0.238828253838167
"Item_4",0.968392016275008,-0.384106906541825,0.96852530616075,-0.587536752171654
"Item_5",0.906398384284321,-1.09807411183008,0.952959494205557,-0.879553679634668
"Item_6",0.988800447450168,-0.139820344636704,0.98690068895442,-0.250262707870925
"Item_7",0.907883694372468,-1.25006698246006,0.959489656024715,-0.872229981624481
"Item_8",0.929011371804332,-1.09107014875298,0.982723948668347,-0.386370432193348
"Item_9",0.942807909813138,-0.981391617992295,0.954827525819648,-1.13951532166414
"Item_10",0.925928381971821,-1.3398834446482,0.95095589249708,-1.29115003756871
"Item_11",0.94040353553411,-1.176176026216,0.962776290359491,-1.02368064317299
"Item_12",0.915533830320132,-1.90286210712148,0.92812985903456,-2.11809046014443
"Item_13",0.926225419330137,-2.01180673303137,0.941424011197012,-1.90003296909425
"Item_14",0.898773509879648,-2.21647511340586,0.917992569084107,-2.30576660038728
"Item_15",0.915950616613719,-1.99658086103862,0.930964575202411,-2.03929928166322
"Item_16",0.948832360749155,-1.69776452415079,0.961826462097287,-1.41929242071552
"Item_17",0.946030710958202,-1.4071962592814,0.968723180106788,-1.00325073188606
"Item_18",0.972588236031603,-0.690582778415605,0.964901394674013,-1.10807094111454
"Item_19",0.925602254802582,-1.64896799842463,0.947998341870397,-1.51546872321902
"Item_20",0.960839410923796,-0.798700039107444,0.975462415190721,-0.64713120886707
"Item_21",0.976147431464072,-0.385985621341707,0.960669967404699,-0.966852365483789
"Item_22",0.882476212613319,-0.766383286260976,1.02565992259135,0.313465128494734
"Item_23",0.942350061760168,-0.847295135840239,0.964578869635774,-0.756724735106671
"Item_24",0.911770878529492,-1.44341770250529,0.952502069161912,-1.14629085870274
"Item_25",0.909147956510797,-2.37215356902907,0.938995771351257,-1.91984582546855
"Item_26",0.963745620637184,-0.356751173354992,0.996257869476511,-0.0388818783794962
"Item_27",0.928020942367251,-1.20352936827257,0.949205552443958,-1.25254100451008
"Item_28",0.91450940720538,-1.92370141446456,0.941117086352759,-1.7311581803174
"Item_29",0.982994896824626,-0.246608813117567,0.960274945424857,-0.91096861351415
"Item_30",0.907753745569317,-2.01070921380301,0.935063551460652,-1.80645337687649
