"par","distancia"
"Item_1_Item_2",0.0123850277098761
"Item_1_Item_3",0.0103120470914678
"Item_1_Item_4",0.0100402444337046
"Item_1_Item_5",0.0115603422411229
"Item_1_Item_6",0.0135457795983026
"Item_1_Item_7",0.00983565513336084
"Item_1_Item_8",0.0153943719081261
"Item_1_Item_9",0.0186163272978554
"Item_1_Item_10",0.0148657263122771
"Item_1_Item_11",0.0144404822275013
"Item_1_Item_12",0.0167452805501908
"Item_1_Item_13",0.0112707148656876
"Item_1_Item_14",0.0262518589969861
"Item_1_Item_15",0.017660020162706
"Item_1_Item_16",0.0182344329554217
"Item_1_Item_17",0.0212073558194135
"Item_1_Item_18",0.00942252316451212
"Item_1_Item_19",0.0097785694582745
"Item_1_Item_20",0.0126152235955398
"Item_1_Item_21",0.0124550691994709
"Item_1_Item_22",0.0137634451595641
"Item_1_Item_23",0.0102828093705515
"Item_1_Item_24",0.0179680326862291
"Item_1_Item_25",0.0106324616499708
"Item_1_Item_26",0.0131386708081266
"Item_1_Item_27",0.0118111883433577
"Item_1_Item_28",0.0109250276324721
"Item_1_Item_29",0.0109292332891108
"Item_1_Item_30",0.0121046996393822
"Item_2_Item_3",0.0117690897625675
"Item_2_Item_4",0.0123939019506338
"Item_2_Item_5",0.0113494145353088
"Item_2_Item_6",0.010275026720736
"Item_2_Item_7",0.0132726981409601
"Item_2_Item_8",0.0166958906930593
"Item_2_Item_9",0.0112817112048982
"Item_2_Item_10",0.0197790959304412
"Item_2_Item_11",0.014741123809832
"Item_2_Item_12",0.0142512867041919
"Item_2_Item_13",0.0116207011785739
"Item_2_Item_14",0.0113944740389358
"Item_2_Item_15",0.0137354483548328
"Item_2_Item_16",0.0131563276846296
"Item_2_Item_17",0.0198792194605292
"Item_2_Item_18",0.0110226095224715
"Item_2_Item_19",0.010808086420537
"Item_2_Item_20",0.0182664289951173
"Item_2_Item_21",0.010031655932613
"Item_2_Item_22",0.00626686441311545
"Item_2_Item_23",0.0113476870709485
"Item_2_Item_24",0.0147465059356362
"Item_2_Item_25",0.0171870814751605
"Item_2_Item_26",0.0104686849826029
"Item_2_Item_27",0.0123517511207563
"Item_2_Item_28",0.012259609254433
"Item_2_Item_29",0.0146717208544217
"Item_2_Item_30",0.0142927595262609
"Item_3_Item_4",0.0180565126139042
"Item_3_Item_5",0.0122983072957543
"Item_3_Item_6",0.0136054817873341
"Item_3_Item_7",0.0157507987676875
"Item_3_Item_8",0.0139263278774036
"Item_3_Item_9",0.0154269100580534
"Item_3_Item_10",0.0186831324567346
"Item_3_Item_11",0.0148159707654005
"Item_3_Item_12",0.0133662748619683
"Item_3_Item_13",0.0189717523657956
"Item_3_Item_14",0.02100294633526
"Item_3_Item_15",0.0201343842147666
"Item_3_Item_16",0.0145659365110175
"Item_3_Item_17",0.0162475320681097
"Item_3_Item_18",0.0131930859441548
"Item_3_Item_19",0.0125668573230511
"Item_3_Item_20",0.0137070744824883
"Item_3_Item_21",0.0154397823420703
"Item_3_Item_22",0.0119102822307689
"Item_3_Item_23",0.0142012052856552
"Item_3_Item_24",0.010186885545447
"Item_3_Item_25",0.00902554031904447
"Item_3_Item_26",0.00971853434354875
"Item_3_Item_27",0.0148089618458273
"Item_3_Item_28",0.0150658669084686
"Item_3_Item_29",0.0135914650299998
"Item_3_Item_30",0.0135444338233886
"Item_4_Item_5",0.0152432480678007
"Item_4_Item_6",0.0157631265191902
"Item_4_Item_7",0.0156126870287089
"Item_4_Item_8",0.0133433053039298
"Item_4_Item_9",0.0131346074551626
"Item_4_Item_10",0.0120535704209815
"Item_4_Item_11",0.0264136400643808
"Item_4_Item_12",0.013803084202532
"Item_4_Item_13",0.0124663309003117
"Item_4_Item_14",0.0157984185024795
"Item_4_Item_15",0.0236898762520798
"Item_4_Item_16",0.0195863465596554
"Item_4_Item_17",0.0132557318839155
"Item_4_Item_18",0.0123240008282919
"Item_4_Item_19",0.0151557267020107
"Item_4_Item_20",0.0150089431620792
"Item_4_Item_21",0.00881074457167651
"Item_4_Item_22",0.00839280561202511
"Item_4_Item_23",0.0138823943949846
"Item_4_Item_24",0.016165528026563
"Item_4_Item_25",0.0119095187586188
"Item_4_Item_26",0.0173105169607372
"Item_4_Item_27",0.0134003493868193
"Item_4_Item_28",0.0177566067380917
"Item_4_Item_29",0.0134376411109934
"Item_4_Item_30",0.0235646379146418
"Item_5_Item_6",0.0151489263154551
"Item_5_Item_7",0.0124349369144983
"Item_5_Item_8",0.0153191048283981
"Item_5_Item_9",0.0220447573566494
"Item_5_Item_10",0.020450639645387
"Item_5_Item_11",0.0206817841119495
"Item_5_Item_12",0.0149487362289501
"Item_5_Item_13",0.0151068090169777
"Item_5_Item_14",0.0198256779516306
"Item_5_Item_15",0.0185464158368592
"Item_5_Item_16",0.0175072573963841
"Item_5_Item_17",0.0200572163000018
"Item_5_Item_18",0.0147325848388974
"Item_5_Item_19",0.0133556865627774
"Item_5_Item_20",0.00935432173717415
"Item_5_Item_21",0.0125907191926301
"Item_5_Item_22",0.00801821198811053
"Item_5_Item_23",0.0102990235611322
"Item_5_Item_24",0.0108626692709363
